Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-07 08:00:00,16747.00000000,16886.75000000,16560.02000000,16607.00000000,1475.70652000,2018-01-07 11:59:59.999,24730103.14185079,14827,870.19722400,14589002.32598474,0
2018-01-07 12:00:00,16611.00000000,16649.05000000,16300.00000000,16439.65000000,1213.05146500,2018-01-07 15:59:59.999,19998964.55639686,16967,566.39554400,9339340.81950842,0
2018-01-07 16:00:00,16439.64000000,16474.87000000,15610.00000000,16100.90000000,2778.45518300,2018-01-07 19:59:59.999,44506716.34959756,30109,1306.00679400,20932314.29582750,0
2018-01-07 20:00:00,16100.90000000,16500.00000000,15872.07000000,16150.03000000,1098.04453900,2018-01-07 23:59:59.999,17818503.78551082,13967,481.96238500,7828864.00886498,0
2018-01-08 00:00:00,16218.85000000,16322.30000000,15514.99000000,15670.37000000,3174.14413400,2018-01-08 03:59:59.999,50445203.93916413,27921,1659.71591300,26401093.00134141,0
2018-01-08 04:00:00,15632.48000000,15921.68000000,15476.00000000,15865.00000000,3057.43256700,2018-01-08 07:59:59.999,48169601.26488358,24070,1923.53119300,30320249.52821532,0
2018-01-08 08:00:00,15864.99000000,15869.97000000,14551.00000000,15400.00000000,4903.91125600,2018-01-08 11:59:59.999,74266567.64417606,39774,2636.16105000,39972411.49690646,0
2018-01-08 12:00:00,15414.00000000,15499.00000000,12812.00000000,14299.98000000,8735.64896100,2018-01-08 15:59:59.999,124245731.54129588,59527,4106.26865000,58681206.98274062,0
2018-01-08 16:00:00,14297.90000000,15247.33000000,14238.32000000,15196.55000000,4144.27470400,2018-01-08 19:59:59.999,61207329.86799723,32357,2242.34377900,33101520.58375233,0
2018-01-08 20:00:00,15196.56000000,15270.99000000,14392.32000000,14902.54000000,2585.19829000,2018-01-08 23:59:59.999,38235562.89994578,24993,1188.82380400,17573100.54373210,0
2018-01-09 00:00:00,14902.54000000,15500.00000000,14701.00000000,15210.00000000,2267.73093200,2018-01-09 03:59:59.999,34341074.96287452,24158,1113.74842000,16862113.86719451,0
2018-01-09 04:00:00,15186.53000000,15397.00000000,14601.00000000,15062.28000000,2094.69676400,2018-01-09 07:59:59.999,31351055.73406445,21598,1038.30096700,15533781.41901167,0
2018-01-09 08:00:00,15062.28000000,15300.00000000,14170.33000000,14726.00000000,2553.31864300,2018-01-09 11:59:59.999,37480695.95930597,28515,1158.40851200,16994327.93044478,0
2018-01-09 12:00:00,14726.00000000,14829.98000000,14011.05000000,14654.96000000,3506.53769500,2018-01-09 15:59:59.999,50635997.86944212,34921,1697.96551000,24505913.07580281,0
2018-01-09 16:00:00,14655.01000000,14998.62000000,14585.01000000,14717.82000000,1558.96114800,2018-01-09 19:59:59.999,23133245.15552390,19315,851.34107500,12631828.19882436,0
2018-01-09 20:00:00,14717.82000000,14861.56000000,14125.00000000,14400.00000000,2333.75907100,2018-01-09 23:59:59.999,33688117.77645766,28149,981.46880300,14170608.40874327,0
2018-01-10 00:00:00,14401.00000000,14480.00000000,13750.00000000,13964.05000000,2823.25517500,2018-01-10 03:59:59.999,39816242.82728480,27865,1317.97062200,18591763.22937872,0
2018-01-10 04:00:00,13980.00000000,14349.99000000,13855.00000000,13979.00000000,2736.51788700,2018-01-10 07:59:59.999,38607685.28521856,29179,1270.81363900,17922787.55525646,0
2018-01-10 08:00:00,13978.95000000,14128.30000000,13131.31000000,13919.08000000,4921.02178900,2018-01-10 11:59:59.999,67060813.17493566,38528,2388.47940000,32582761.54966323,0
2018-01-10 12:00:00,13919.09000000,14490.00000000,13500.00000000,14399.95000000,3221.04965700,2018-01-10 15:59:59.999,44789331.89496838,27542,1720.54491700,23925163.25748609,0
2018-01-10 16:00:00,14399.95000000,14735.43000000,14172.95000000,14349.98000000,2238.17271900,2018-01-10 19:59:59.999,32397512.24322729,22118,1063.82393300,15403366.07180544,0
2018-01-10 20:00:00,14349.98000000,14955.66000000,14240.00000000,14907.09000000,1470.98442800,2018-01-10 23:59:59.999,21339781.33739330,16244,767.92216400,11144298.14286355,0
2018-01-11 00:00:00,14940.00000000,14968.68000000,12613.00000000,12920.00000000,4980.40759700,2018-01-11 03:59:59.999,68256381.89783263,34703,2248.87864600,30882716.46638264,0
2018-01-11 04:00:00,12911.92000000,13631.98000000,11400.00000000,13530.42000000,12868.42584200,2018-01-11 07:59:59.999,165873941.41820416,70126,6497.33236100,84067628.59605368,0
